"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,
"1;""J4","J3"";""CONN19_PPTC191LFBN-RC_SUL"";2;""PPTC191LFBN-RC"";;;",,,
"2;""C1","C21"";""CAP_LMK212AB7106MG-T_TAY"";2;""22uF"";;;",,,
"3;""R26"";""STA_RMCF080547.5K_STP"";1;""47.5K"";;;",,,,
"4;""D2"";""LEDC2012X90N"";1;""LD2"";;;",,,,
"5;""S2"";""SW_PTS_647_SN50_SMTR2_LFS"";1;""S2"";;;",,,,
"6;""R11"";""RC0805N_PAN"";1;""R11"";;;",,,,
"7;""R25"";""STA_RMCF0805_STP"";1;""22.1K"";;;",,,,
"8;""D1"";""LEDC2012X90N"";1;""LD1"";;;",,,,
"9;""C14","C22"";""CC0805N_YAG"";2;""0.1uF"";;;",,,
"10;""R6",R5,R4,"R7"";""RESC2012X65N"";4;""CRGCQ0805J470R"";;;",
"11;""J2"";""CUI_PJ-051AH"";1;""JCK"";;;",,,,
"12;""U2"";""MOD_DWM1000_QOR"";1;""DWM1000"";;;",,,,
"13;""C19"";""CAPC2012X95N"";1;""0.1uF"";;;",,,,
"14;""R32"";""RES_1220_SUS"";1;""RD2"";;;",,,,
"15;""C31"";""CAP_LMK212AB7106MG-T_TAY"";1;""C5"";;;",,,,
"16;""J1"";""AMPHENOL_87583-2010RLF"";1;""USB"";;;",,,,
"17;""R2","R24"";""RESC2012X60N"";2;""2K"";;;",,,
"18;""R22",R15-1,R23,R21,"R34"";""RC0805N_PAN"";5;""10K"";;;"
"19;""D3"";""LEDC2012X90N"";1;""LD3"";;;",,,,
"20;""Q1"";""TRAN_SS8050-G_CIP"";1;""T1"";;;",,,,
"21;""C3"";""CC0805N_YAG"";1;""C6"";;;",,,,
"22;""R33"";""RES_1220_SUS"";1;""RD3"";;;",,,,
"23;""C15"";""CC0805N_YAG"";1;""C15"";;;",,,,
"24;""C20"";""CAPC2012X95N"";1;""4.7uF"";;;",,,,
"25;""S1"";""SW_PTS_647_SN50_SMTR2_LFS"";1;""S1"";;;",,,,
"26;""U1"";""MOD_ESP32-WROOM-32_EXP"";1;""ESP32-WROOM-32-N4"";;;",,,,
"27;""D4"";""LEDC2012X90N"";1;""LD4"";;;",,,,
"28;""U3"";""SOT229P700X180-4N"";1;""AMS1117-3.3"";;;",,,,
"29;""LED1"";""LEDC2012X90N"";1;""RED"";;;",,,,
"30;""Q2"";""TRAN_SS8050-G_CIP"";1;""T2"";;;",,,,
"31;""IC3"";""QFN50P500X500X80-29N-D"";1;""UART"";;;",,,,
"32;""R0-1"";""STA_RMCF0805_STP"";1;""0K"";;;",,,,
"33;""C3-22uF1"";""CAP_LMK212AB7106MG-T_TAY"";1;""LMK212BJ226MG-T"";;;",,,,
"34;""R31"";""RES_1220_SUS"";1;""RD1"";;;",,,,
